"taxon","donor_id","target_id","donor_ug","target_ug","threshold_admix","threshold_zone","threshold_used","donor","target","W_j","T_obs","T_pred","T_ci_lower","T_ci_upper","prob_allowed","allowed_obs","allowed_boot","is_neighbor","n_donor","n_target","too_small","state_obs","state_boot","fst_sig","Nboot"
"ACH.AGG",13,2,"UG 13","UG 02",0.0157919338528995,0.0213456149024095,0.0157919338528995,"13","02",0.124116138659337,0.0340849279632585,0.0328116110207332,0.0184367134913073,0.0505318821680415,0.02,FALSE,FALSE,FALSE,26,35,FALSE,"not_considered","not_considered",TRUE,100
"ACH.AGG",14,2,"UG 14","UG 02",0.0157919338528995,0.0213456149024095,0.0157919338528995,"14","02",0.124116138659337,0.0311439008044994,0.030636381307134,0.014380189900207,0.0419065336921872,0.04,FALSE,FALSE,FALSE,38,35,FALSE,"not_considered","not_considered",TRUE,100
"ACH.AGG",15,2,"UG 15","UG 02",0.0157919338528995,0.0213456149024095,0.0157919338528995,"15","02",0.124116138659337,0.00559189823039574,0.00532272270915279,-0.00583203842333059,0.0182091965133207,0.94,TRUE,TRUE,FALSE,22,35,FALSE,"not_considered","not_considered",TRUE,100
"ACH.AGG",16,2,"UG 16","UG 02",0.0157919338528995,0.0213456149024095,0.0157919338528995,"16","02",0.124116138659337,0.0351036410509898,0.0362049143943065,0.0205929676168809,0.0569376776985484,0,FALSE,FALSE,FALSE,31,35,FALSE,"not_considered","not_considered",TRUE,100
"ACH.AGG",17,2,"UG 17","UG 02",0.0157919338528995,0.0213456149024095,0.0157919338528995,"17","02",0.124116138659337,0.0375160155257588,0.036784548494272,0.0221013327982125,0.0521017042376995,0,FALSE,FALSE,FALSE,36,35,FALSE,"not_considered","not_considered",TRUE,100
"ACH.AGG",18,2,"UG 18","UG 02",0.0157919338528995,0.0213456149024095,0.0157919338528995,"18","02",0.124116138659337,0.0269475658846876,0.0270597931824332,0.0100170963170891,0.045282225348862,0.09,FALSE,FALSE,FALSE,23,35,FALSE,"not_considered","not_considered",TRUE,100
"ACH.AGG",19,2,"UG 19","UG 02",0.0157919338528995,0.0213456149024095,0.0157919338528995,"19","02",0.124116138659337,0.0261486878708153,0.0273806707942854,0.0141595003212031,0.0410220128635072,0.06,FALSE,FALSE,FALSE,36,35,FALSE,"not_considered","not_considered",TRUE,100
"ACH.AGG",20,2,"UG 20","UG 02",0.0157919338528995,0.0213456149024095,0.0157919338528995,"20","02",0.124116138659337,0.00472689605640872,0.00223923696910555,-0.00919976899709538,0.0186987972216985,0.95,TRUE,TRUE,FALSE,31,35,FALSE,"not_considered","not_considered",TRUE,100
"ACH.AGG",21,2,"UG 21","UG 02",0.0157919338528995,0.0213456149024095,0.0157919338528995,"21","02",0.124116138659337,0.00992554116350336,0.00950507880314733,-0.00580444248195349,0.0251505669858303,0.8,TRUE,TRUE,FALSE,16,35,FALSE,"not_considered","not_considered",FALSE,100
"ACH.AGG",22,2,"UG 22","UG 02",0.0157919338528995,0.0213456149024095,0.0157919338528995,"22","02",0.124116138659337,0.0421505776142301,0.0395686984466933,0.0201408351541528,0.0607490575134999,0.01,FALSE,FALSE,FALSE,14,35,FALSE,"not_considered","not_considered",TRUE,100
"ACH.AGG",1,3,"UG 01","UG 03",0.0157919338528995,0.0213456149024095,0.0157919338528995,"01","03",0.112849752776178,0.0115333855278381,0.011472166915879,-0.00231505090515317,0.0193048854056106,0.78,TRUE,TRUE,TRUE,55,47,FALSE,"allowed","allowed",TRUE,100
"ACH.AGG",2,3,"UG 02","UG 03",0.0157919338528995,0.0213456149024095,0.0157919338528995,"02","03",0.112849752776178,0.0262037932237223,0.0252898193109578,0.0150619155187273,0.0389986807592255,0.03,FALSE,FALSE,FALSE,35,47,FALSE,"not_considered","not_considered",TRUE,100
"ACH.AGG",3,3,"UG 03","UG 03",0.0157919338528995,0.0213456149024095,0.0157919338528995,"03","03",,,,,,,,,FALSE,47,47,FALSE,"not_considered","not_considered",,100
"ACH.AGG",4,3,"UG 04","UG 03",0.0157919338528995,0.0213456149024095,0.0157919338528995,"04","03",0.112849752776178,0.0178987576680392,0.0176205658390235,0.006251954934817,0.0264758749321749,0.43,FALSE,FALSE,TRUE,54,47,FALSE,"not_allowed","not_allowed",TRUE,100
"ACH.AGG",5,3,"UG 05","UG 03",0.0157919338528995,0.0213456149024095,0.0157919338528995,"05","03",0.112849752776178,0.0413487384138791,0.0399246849734635,0.0287929809103129,0.0522747499070073,0,FALSE,FALSE,FALSE,79,47,FALSE,"not_considered","not_considered",TRUE,100
"ACH.AGG",6,3,"UG 06","UG 03",0.0157919338528995,0.0213456149024095,0.0157919338528995,"06","03",0.112849752776178,0.0258696130185679,0.0257080109638667,0.0140975898318869,0.0368127149073876,0.08,FALSE,FALSE,FALSE,45,47,FALSE,"not_considered","not_considered",TRUE,100
"ACH.AGG",7,3,"UG 07","UG 03",0.0157919338528995,0.0213456149024095,0.0157919338528995,"07","03",0.112849752776178,0.0268330267909357,0.0255039130473913,0.0153001550852,0.0352529090950744,0.04,FALSE,FALSE,FALSE,62,47,FALSE,"not_considered","not_considered",TRUE,100
"ACH.AGG",8,3,"UG 08","UG 03",0.0157919338528995,0.0213456149024095,0.0157919338528995,"08","03",0.112849752776178,0.00652390259989205,0.00723690259457443,-0.00640268658434874,0.0221709707828912,0.92,TRUE,TRUE,FALSE,18,47,FALSE,"not_considered","not_considered",TRUE,100
"ACH.AGG",9,3,"UG 09","UG 03",0.0157919338528995,0.0213456149024095,0.0157919338528995,"09","03",0.112849752776178,0.0331623685888939,0.0336977528569268,0.0202738247131523,0.0419087031684392,0.01,FALSE,FALSE,FALSE,35,47,FALSE,"not_considered","not_considered",TRUE,100
"ACH.AGG",10,3,"UG 10","UG 03",0.0157919338528995,0.0213456149024095,0.0157919338528995,"10","03",0.112849752776178,0.0386300698293033,0.0388624045774604,0.0237599907718691,0.0533027266480906,0,FALSE,FALSE,FALSE,23,47,FALSE,"not_considered","not_considered",TRUE,100
"ACH.AGG",11,3,"UG 11","UG 03",0.0157919338528995,0.0213456149024095,0.0157919338528995,"11","03",0.112849752776178,0.0450055049184218,0.0431651308817287,0.0320417157314695,0.05525907302084,0,FALSE,FALSE,FALSE,46,47,FALSE,"not_considered","not_considered",TRUE,100
"ACH.AGG",12,3,"UG 12","UG 03",0.0157919338528995,0.0213456149024095,0.0157919338528995,"12","03",0.112849752776178,0.0338125973559972,0.0325001757105359,0.0177563367574288,0.0458735294672258,0.01,FALSE,FALSE,FALSE,24,47,FALSE,"not_considered","not_considered",TRUE,100
"ACH.AGG",13,3,"UG 13","UG 03",0.0157919338528995,0.0213456149024095,0.0157919338528995,"13","03",0.112849752776178,0.0492028565238689,0.048303745014646,0.0331388620074089,0.0628875564223466,0,FALSE,FALSE,FALSE,26,47,FALSE,"not_considered","not_considered",TRUE,100
"ACH.AGG",14,3,"UG 14","UG 03",0.0157919338528995,0.0213456149024095,0.0157919338528995,"14","03",0.112849752776178,0.0382210726341199,0.0355670937120928,0.027030995482302,0.0467987547880813,0,FALSE,FALSE,FALSE,38,47,FALSE,"not_considered","not_considered",TRUE,100
"ACH.AGG",15,3,"UG 15","UG 03",0.0157919338528995,0.0213456149024095,0.0157919338528995,"15","03",0.112849752776178,0.0181909103560672,0.0163850639230575,0.00629903915788046,0.0321758394974843,0.48,FALSE,FALSE,FALSE,22,47,FALSE,"not_considered","not_considered",TRUE,100
"ACH.AGG",16,3,"UG 16","UG 03",0.0157919338528995,0.0213456149024095,0.0157919338528995,"16","03",0.112849752776178,0.0451689866333104,0.0457673678542643,0.0325694437030724,0.0595382543940929,0,FALSE,FALSE,FALSE,31,47,FALSE,"not_considered","not_considered",TRUE,100
"ACH.AGG",17,3,"UG 17","UG 03",0.0157919338528995,0.0213456149024095,0.0157919338528995,"17","03",0.112849752776178,0.0495442594325171,0.0474437151773115,0.0298211246380593,0.060747388295897,0,FALSE,FALSE,FALSE,36,47,FALSE,"not_considered","not_considered",TRUE,100
